acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-1.68,-9.52,-1.79,0.02,0.04,0.02,0
-1.78,-9.42,-1.95,0.09,0.16,-0.03,0
-2.13,-9.23,-2.2,0.1,0.18,-0.11,0
-2.32,-9.52,-1.88,0.12,0.03,-0.05,0
-2.22,-9.53,-1.79,0.13,-0.03,0.07,0
-1.96,-9.49,-1.75,0.05,0.02,0.16,0
-1.9,-9.52,-1.66,0.02,0.09,0.15,0
-1.93,-9.34,-1.69,0.02,0.18,0.07,0
-2.18,-9.39,-1.73,0.05,0.28,0.04,0
-2.39,-9.39,-1.91,0.07,0.19,0.01,0
-2.56,-9.58,-2,0.03,0.06,-0.06,0
-4.18,-10.72,-1.85,0.1,-0.37,0.15,0
-1.97,-10.01,-1.94,0.32,-0.07,0.78,0
-2.27,-9.71,-1.71,0.12,0.95,1.03,0
-2.25,-9.24,-1.2,0.1,-0.14,0.54,0
-1.44,-8.79,-0.76,0.31,-0.21,0.13,0
-3.32,-8.95,-0.83,0.4,0.69,0,0
-4.02,-8.18,-1.3,0.57,0.48,0.11,0
-4.86,-8.96,-1.37,0.35,0.54,0.28,0
-3.92,-8.68,-1.77,0.31,0.33,0.53,0
-4.35,-7.83,-1.95,0.25,1.09,0.82,0
-4.46,-8.26,-1.41,0.06,0.58,0.64,0
-3.32,-10.61,-1.65,0.2,0.02,0.31,0
-4.26,-9.06,-1.33,0.16,-0.09,-0.46,0
-3.83,-9.57,-0.59,0.2,-0.19,-0.28,0
-3.37,-9.17,-1.11,0.28,-0.06,-0.19,0
-4.05,-8.79,-0.55,-0.02,-0.39,-0.19,0
-3.83,-8.33,-0.43,0.09,-0.41,0.12,0
-3.48,-9.49,-0.73,0.13,0.12,0.31,0
-4.22,-9.53,-1.68,0.28,0.72,0.25,0
-4.56,-9.18,-2.02,0.15,0.56,0.05,0
-5.01,-9.63,-1.72,-0.06,-0.03,-0.26,0
-4.97,-9.67,-0.74,0,-0.08,-0.19,0
-4.22,-7.97,-0.43,-0.1,-0.69,-0.42,0
-4.16,-7.93,-0.35,-0.21,-0.34,-0.39,0
-3.76,-10,-0.48,-0.27,-0.5,-0.23,0
-3.2,-9.83,-0.75,-0.05,-0.25,0.01,0
-3.18,-9.05,-0.44,-0.04,0.15,0.12,0
-2.77,-8.48,-0.32,0.24,0.36,0.3,0
-2.8,-8.23,-0.83,0.39,0.68,0.35,0
-3.64,-8.51,-1.23,0.27,0.49,0.07,1
-4.18,-9.66,-1.46,0.24,0.08,-0.13,1
-4.67,-9.89,-1.69,0.25,0.29,-0.14,1
-4.82,-9.64,-1.7,0.12,0.63,0.07,1
-4.25,-9.06,-1.25,-0.07,0.46,0.08,1
-4.23,-9.04,-0.72,-0.29,0.1,-0.22,1
-4.83,-9.49,0.25,-0.1,-0.24,-0.27,1
-4.61,-9.16,-0.53,0.08,-0.35,-0.4,1
-3.63,-9.15,-0.81,-0.02,-0.28,-0.46,1
-3.61,-9.25,-0.77,0.02,-0.04,-0.27,1
-2.93,-9.15,-1.17,0,-0.17,-0.12,1
-3.01,-9.01,-1.64,-0.02,-0.06,-0.12,1
-3.32,-8.9,-1.5,0.04,-0.26,-0.25,1
-3.68,-9.35,-1.08,0.02,-0.43,-0.37,1
-3.17,-8.02,-0.77,-0.1,-0.77,-0.36,1
-3.9,-7.15,-0.1,-0.37,-0.4,-0.15,1
-3.49,-10.04,-0.77,-0.18,-0.74,0.17,1
-3.12,-10.14,-2.37,0.33,-0.14,0.36,1
-3.82,-8.32,-1.68,0.2,0.63,0.67,1
-3.71,-9.41,-0.73,-0.02,0.48,0.91,1
-2.66,-9.47,-1.16,0.01,0.24,0.89,1
-3.3,-9.25,-1.14,-0.11,0.01,0.5,1
-4.09,-9.21,-0.46,-0.07,-0.2,0.04,1
-4.12,-10.23,0.24,0.27,0.18,0.18,1
-4.53,-8.96,-0.99,0.58,1.19,0.37,1
-4.8,-7.92,-1.1,0.36,1,0.3,1
-4.83,-7.72,-1.39,0.05,-0.41,-0.08,1
-5.01,-10.15,-1.23,-0.06,-0.59,0.07,1
-6.63,-11.28,-1.78,0.2,0.64,0.49,1
