acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.87,-4.48,-15.5,-4.68,0.27,-0.57,1
4.1,-0.94,-11.57,-3.49,0.68,0.93,1
0.66,-4.62,-13.65,-2.36,3.7,1.5,1
-1.51,-3.2,-14.03,-0.73,5.4,1.18,1
-4.23,-3.66,-12.06,-0.92,5.2,0.34,1
5.59,-8.91,-8.99,0.26,2.99,-1.92,1
14.29,-12.86,-13.83,-0.77,5.47,-8.75,1
-6.69,-63.86,-30.81,-6.74,5.59,-8.75,1
-9.02,-50.05,-5.17,-8.76,-6.82,-8.75,1
-10.82,-29.37,4.08,-4.24,2.71,-5.68,1
-15.27,-27.91,7.93,-3.66,-1.12,-4.06,1
-2.42,-24.6,16.5,-2.28,-0.31,-1.62,1
-9.36,-16.5,7.77,-1.65,-0.82,-0.81,1
-3.39,-14.57,5.88,-0.74,1.3,0.68,1
-5.85,-9.8,-0.28,-0.28,0.34,0.81,1
-2.12,-9.62,0.85,-0.11,0.7,0.83,1
-3.13,-8.87,0.72,-0.32,1.53,0.73,1
-4.84,-8.76,0.11,-0.05,1.48,0.28,1
-5.28,-8.07,0.14,-0.03,1.9,0.25,1
-5.48,-7.94,0.02,0.33,1.96,0.1,1
-7.09,-7.2,-1.39,0.48,2.11,-0.07,1
-5.95,-6.32,-1.27,0.42,2.23,-0.29,1
-6.8,-7.5,-1.8,0.55,1.89,-0.6,1
-5.48,-8.58,-1.7,0.43,1.83,-0.76,1
-5.85,-9.45,-2.59,0.45,1.82,-0.73,1
-4.02,-9.68,-2.15,0.37,1.3,-0.93,1
-3.54,-10.14,-2.24,-0.05,1.94,-0.66,1
-4.15,-10.88,-2.79,0.08,1.46,-0.37,1
-3.23,-9.91,-3.24,0.23,0.7,-0.28,1
-2.82,-9.77,-3.15,0.26,0.34,-0.12,1
-2.55,-9.28,-3.14,0.18,0.14,0.06,1
-2.17,-9.21,-2.89,0.04,-0.02,0.16,1
-1.59,-9.03,-2.59,-0.03,-0.08,0.11,1
-1.6,-9.18,-2.41,-0.04,-0.03,0.06,1
-1.65,-9.13,-2.45,0,-0.02,0.04,1
-1.64,-9.15,-2.5,-0.05,-0.02,-0.04,1
-1.69,-9.4,-2.4,-0.08,-0.08,-0.11,1
-1.52,-9.44,-2.2,-0.03,-0.07,-0.03,1
-1.47,-9.32,-2.22,0.02,0.01,0.01,1
-1.49,-9.3,-2.19,0.04,0.03,-0.03,1
-8.96,-18.38,-4.51,-0.64,0.19,6.78,1
-7.19,-17.74,-5.25,-0.61,-0.19,8.04,1
-6.57,-17.28,-7.98,-0.04,-2.48,7.79,1
-1.76,-16.3,-8.61,1.46,-4.56,6.98,1
5.48,-12.92,-6.12,2.7,-4.12,6.84,1
7.27,-13.49,-6.69,3.73,-2.33,7.33,1
14.04,-13.13,-9.62,5.17,-0.51,8.71,1
10.36,-11.13,-16.76,4.62,-1.18,8.43,1
15.48,-12.94,-12.8,4.13,-2.51,5.72,1
13.54,-3.01,-16.55,3.54,-0.69,4.92,1
13.17,-3.36,-12.57,1.81,-1.6,2.04,1
10.14,0.79,-15.28,1.18,-0.53,1.5,1
10.75,0.03,-16.53,0.34,-0.44,0.64,1
12.53,0.45,-17.13,-0.99,0.07,-0.37,1
10.91,-1.5,-18.08,-1.89,0.05,-1.24,1
7.95,-7.19,-18.62,-2.77,-0.11,-1.34,1
12.11,-2.61,-16.52,-3.6,1.11,-1,1
5.36,-8.41,-17.16,-3.19,2.34,-1.13,1
7.45,-9.21,-18.05,-3.18,5.51,-0.62,1
3.19,-12.85,-18.26,-1.47,4.48,-1.03,1
-1.88,-15.26,-20.79,-1.04,6.09,-2.28,1
-0.17,-14.42,-16.02,-0.58,3.52,-4.25,1
15.27,-24.79,-16.55,-4.04,3.73,-8.75,1
-11.47,-59.85,-34.28,-8.76,-1.81,-8.75,1
0.71,-78.7,-1.17,-8.76,-2.82,-8.75,1
-16.55,-42.95,7.49,-4.22,2.55,-2.31,1
-3,-27.94,14.5,-2.59,0.4,-1.61,1
-8.37,-21.77,10.12,-1.57,0.2,-0.81,1
-8.18,-12.86,3.66,-0.76,1.75,0.81,1
-4.36,-12.45,2.53,-0.26,0.04,0.34,1
-4.98,-8.87,-1.13,-0.12,1.83,1.07,1
-2.57,-7.8,-0.69,0.24,1.24,0.57,1
-4.4,-6.96,-0.75,-0.15,2.13,0.26,1
-4.44,-7.62,-1.71,0.34,2.47,0.3,1
-4.82,-6.74,-2.8,0.26,2.35,-0.05,1
-4.99,-8.01,-2.57,0.5,2.26,-0.29,1
