acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
1.45,-9.39,-1.46,0.03,0.03,0.03,1
1.26,-9.39,-1.42,-0.07,-0.13,-0.16,1
0.74,-10,-0.96,-0.14,-0.21,-0.23,1
0,-10.89,-0.74,-0.15,-0.14,-0.09,1
-1.77,-12.64,-0.83,-0.63,0.42,0.56,1
-4.28,-15.92,-2.15,-1.82,1.42,1.93,1
-5.36,-18.08,-5.22,-3.39,2.49,3.93,1
-5.73,-18.93,-7.43,-4.51,2.17,5.26,1
-5.78,-18.09,-8.72,-4.9,1.17,6.19,1
-5.61,-16.13,-9.84,-5.14,0.75,6.8,1
-5.49,-15.53,-10.1,-3.36,-1.9,7.39,1
-1.67,-12.01,-11.43,-1.34,-4.05,8.25,1
2.73,-12.32,-15.01,0.27,-7.28,8.71,1
5.64,-10.3,-14.29,-0.1,-5.12,8.71,1
12.58,-8.8,-9.85,-0.35,-4.72,8.71,1
15.62,-6.3,-6.78,-0.22,-2.4,8.45,1
22.35,0.89,-6.02,0.84,-1.46,5.62,1
21.27,4.81,-10.48,0.87,-0.38,0.98,1
14.04,1.77,-13.44,-1.68,0.07,-2.62,1
17.4,0.66,-13.87,-3.02,-1.36,-3.9,1
12.67,-1.35,-13.41,-6.05,-2.18,-6.92,1
18.2,-15.33,-11.7,-8.76,-2.09,-8.75,1
11.68,-32.33,-11.31,-8.76,-3.56,-8.75,1
16,-26.97,2.11,-7.84,-6.2,-5.16,1
-8.6,-25.88,10.04,-5.14,-1.61,-4.84,1
11.28,-15.98,22.96,-0.74,-3.26,0.56,1
2.59,-11.58,11.51,-1.45,-0.43,0.11,1
2.83,-12.88,13.07,-2.19,-0.33,-0.22,1
-0.14,-12.16,8.75,-1.52,0.64,0.94,1
-0.4,-9.65,5.34,0.09,-0.12,2.08,1
-2.14,-11.96,-3,-1,1.23,2.08,1
-4.58,-13.94,-3.39,-1.54,1.46,2.89,1
-6.64,-14.87,-5.01,-1.92,1.74,4.13,1
-9.83,-15.02,-6.45,-2.22,1.53,5.29,1
-11.91,-13.43,-7.49,-1.51,-0.22,6.08,1
-15.16,-10.16,-10.67,-0.59,-2.28,6.05,1
-10.62,-9.41,-11.96,1.43,-5.27,6.64,1
-9.9,-11.02,-14.26,1.18,-4.42,8.71,1
-3.8,-15.01,-11.9,0.79,-4.66,8.71,1
6.75,-12.37,-4.39,0.46,-2.69,8.71,1
18.84,-5.39,-0.27,1.51,-0.07,8.71,1
25.6,3.97,-4.37,2.41,0.77,5.53,1
29.77,7.12,-13.43,1.48,-0.33,-0.41,1
36.84,-1.75,-20.56,-2.91,-0.8,-6.95,1
32.73,-23.09,-24.87,-8.76,0.64,-8.75,1
16.38,-78.7,-22.59,-8.76,-4.07,-8.75,1
22.82,-67.52,27.1,-8.76,-8.69,-8.75,1
-34.67,-38.21,13.13,3.96,-3.49,-2.5,1
14.35,-1.73,12.27,-2.12,2.7,3.59,1
2.41,-8.03,13.11,-0.43,-1.03,-2.63,1
