acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1.507,0.6598,-12.7171,5.8268,4.6306,3.8224
5.9294,-1.6075,-14.7857,3.7402,4.2155,3.6431
9.9062,-9.1516,-23.5149,4.1985,4.6677,0.1052
10.9644,-8.328,-25.2507,-1.3772,3.7907,-1.1282
9.5614,-7.04,-18.4009,-2.4508,2.881,-4.4086
5.8145,-15.4771,-14.654,-5.3816,0.3451,-5.5246
5.3572,-21.0796,-19.6435,-4.5098,-2.0576,-7.1737
0.1666,-42.5148,-21.0561,-8.7614,-3.5141,-6.1827
23.4071,-62.8727,-0.9927,-8.7614,-7.68,-4.1936
18.8581,-67.8311,-11.0986,-8.7614,-4.6338,-3.2866
31.8539,-65.2478,12.2951,-8.7614,-8.5398,-0.5135
16.2748,-47.5451,29.8877,-7.5594,-1.1058,0.8433
14.4145,-31.5877,28.7553,-3.2395,-0.7879,0.5428
7.1505,-20.0907,22.6908,-1.1518,0.0251,0.5532
4.797,-16.3558,15.9343,0.4435,1.5727,0.4514
1.5385,-13.7126,5.6824,1.3572,2.2626,1.3352
4.0739,-12.4939,0.8724,2.0865,2.7742,1.2238
4.2224,-11.7565,1.9546,1.5424,2.1904,0.6715
4.6533,-9.7741,1.5308,1.1288,2.3974,0.3312
2.6518,-7.3584,1.775,0.0422,3.6362,-0.5657
0.2217,-5.2611,1.8708,-0.1467,1.003,-1.9098
-0.4894,-6.5827,2.5029,-1.4252,0.9518,-3.1
-1.4902,-9.9776,2.9027,-2.1883,1.5479,-3.3505
-2.989,-12.1564,2.2563,-1.8782,3.1155,-2.8823
-3.9155,-11.7063,0.5659,-1.4902,2.7422,-2.035
-3.6522,-11.0383,-0.0326,-1.4774,3.3356,-1.4634
-3.8413,-11.2825,0.5109,-1.4263,2.9706,-0.8887
-1.8493,-11.4501,0.6713,-0.8017,2.391,-0.2689
-0.5612,-11.0095,0.6833,-0.4955,2.018,-0.2569
-0.4152,-10.2817,0.4367,-0.358,1.9543,-0.3422
-0.432,-10.6672,0.7,-0.4409,1.6113,-0.3432
-0.5756,-10.3128,0.7671,-0.2224,0.9934,-0.2489
0.1642,-10.3104,1.2818,-0.2738,0.0493,0.113
0.6885,-10.2075,1.5164,-0.1331,0.0216,0.077
0.7987,-10.9018,1.5548,-0.175,0.0605,0.1151
0.7819,-11.5842,1.6721,-0.1963,0.4333,0.1266
0.3246,-10.0447,1.435,-0.3636,0.1828,0.1076
0.1426,-9.3384,2.1174,-0.4699,0.2556,0.0983
0.0469,-9.7646,2.4358,-0.1395,-0.2947,0.0956
0.0182,-10.2051,2.1246,-0.1422,-0.0034,-0.0877
0.1522,-10.2219,2.1294,-0.1523,0.096,-0.0277
0.2552,-10.1859,2.2275,-0.1555,0.1026,0.0245
0.2887,-10.0878,2.3185,-0.1385,0.2276,0.0749
-0.2308,-10.5283,2.4262,-0.1472,0.2465,0.1865
-1.1454,-11.0263,2.7279,-0.1744,0.3203,0.5366
-3.4917,-13.8084,4.3608,-0.5664,1.2679,1.9001
-6.0416,-18.1658,6.5371,0.9338,4.0092,6.4055
-11.6727,-22.3221,7.5762,2.3122,6.1188,8.7112
-11.1125,-15.9679,4.3727,3.4316,3.7225,8.0426
-11.5123,-14.2968,4.4589,3.7191,2.0182,8.7112
-3.487,-14.3327,4.3895,5.1093,1.2759,8.7112
-0.2093,-9.8507,-4.098,5.32,2.411,8.7112
8.6062,-6.4414,-12.1951,8.3766,3.4859,6.3495
11.8838,-2.1103,-26.1342,3.0202,5.8617,3.456
13.2988,-5.8237,-25.04,0.3313,6.0269,-1.2591
10.5263,-7.7415,-16.2006,-2.0543,1.2322,-1.7989
6.2191,-12.47,-15.6045,-4.077,1.8056,-3.4054
-0.001,-13.0422,-14.2111,-2.2976,-1.4202,-3.1296
1.2176,-17.9575,-17.7449,-5.6324,-3.1909,-6.7314
6.4681,-37.0944,-17.8886,-8.7614,-1.1849,-5.1854
22.7631,-53.4109,-32.5459,-8.7614,3.3471,-8.2063
30.1707,-78.7032,8.6919,-6.1885,-8.6914,-8.7514
14.7425,-50.7317,13.5018,-8.7614,-4.4318,0.1452
17.029,-39.5652,23.8304,-4.6862,-2.967,-0.5457
12.2884,-29.6388,18.4865,-4.1639,-1.4525,0.5955
9.31,-22.698,19.4754,-2.0207,0.0565,0.5446
7.0643,-16.4827,10.0877,-0.1203,0.0544,0.879
6.7913,-12.8986,5.826,0.5794,3.2695,2.1218
4.2056,-8.1293,-0.3917,0.4808,3.6444,1.1634
4.7228,-7.4278,-2.0246,0.6148,0.4485,0.5105
2.0029,-9.8579,1.9187,0.12,1.8834,0.2078
-1.471,-9.7837,0.8963,0.9261,-0.4716,0.3283
0.7388,-8.3089,1.8085,0.8549,-0.2059,0.3062
0.7867,-7.5188,2.5651,-0.252,-0.0711,-0.4522
-0.9132,-7.9498,3.7071,-0.5744,0.9862,-0.9718
-1.6338,-8.9003,2.6465,-0.8246,1.5322,-1.4317
-1.8828,-10.9042,3.3911,-1.5137,1.5444,-1.889
-3.396,-11.7685,3.6712,-1.4785,1.6753,-1.7403
-0.8438,-10.2506,1.3632,-0.0745,0.619,0.1953
-1.5453,-10.5546,1.3943,-0.0971,0.639,0.267
-2.1103,-10.9952,1.7104,-0.0156,0.4629,0.4293
-4.2172,-12.4652,2.704,0.2754,-0.0543,0.9294
-3.5708,-12.7118,3.5802,0.3963,-0.2427,1.6651
-3.7336,-12.9105,4.4829,0.4691,0.7672,2.2681
-6.9777,-14.0286,4.9354,-0.2296,2.3161,2.841
-14.8067,-17.9958,3.8316,0.5075,2.448,5.2645
-17.0549,-21.0293,3.8556,2.7204,-1.0818,6.8315
-11.5913,-20.086,1.1477,6.1194,-2.4895,8.7112
-11.5674,-18.3166,-2.0174,6.9764,-3.6926,8.7112
0.9902,-14.1196,-4.3278,8.7012,-3.792,8.4578
2.7547,-8.0575,-6.983,8.7012,0.1951,7.0692
8.8408,-6.8532,-14.3547,8.7012,1.873,5.1038
15.0729,-6.5037,-23.2971,8.7012,4.8321,0.4506
10.3707,-10.5355,-22.5166,3.583,3.8283,-1.2058
9.2957,-10.0447,-17.6444,-0.3708,2.5698,-4.9416
2.6925,-16.2959,-11.6205,-1.888,-0.1948,-6.5771
-0.2955,-14.4572,-15.3028,-2.64,0.0925,-6.9089
3.8154,-18.4388,-12.0467,-6.9815,-2.2263,-6.7607
14.0075,-36.7855,-21.0369,-8.7614,-0.6291,-8.7514
13.3706,-78.7032,-32.7326,-8.7614,-7.4004,-8.7514
17.1918,-55.7811,-6.1258,-8.7614,-3.7531,-0.7746
31.782,-49.5729,4.0782,-7.9685,-5.4654,-1.5665
21.645,-43.9035,10.1164,-6.4528,-4.9937,-1.5191
15.5517,-35.8757,14.1506,-5.4253,-0.3107,0.8718
8.3308,-23.9957,13.5114,-1.5928,-0.5955,0.7762
5.2136,-16.0445,6.9513,-0.2698,0.4637,0.7117
4.8401,-10.6648,3.6138,0.2604,1.994,1.1666
6.3125,-9.2139,-1.0477,1.1304,2.3771,1.2833
1.9646,-11.9241,1.2722,0.9759,1.8309,0.8548
3.2814,-11.2418,0.0727,1.8606,1.0379,0.8969
1.4092,-11.1388,0.9394,1.7987,1.0195,0.5196
1.7731,-11.4716,0.6497,2.5264,0.8748,0.7037
3.8177,-9.0918,0.0201,2.2355,2.3755,0.8785
0.7723,-6.8077,0.6665,1.0534,3.7923,-0.076
-0.5636,-6.3049,1.2435,-0.0276,3.1443,-1.3427
-3.5803,-8.3999,2.9817,-0.617,3.2623,-1.4642
-5.3161,-9.6496,2.4262,-0.1901,1.9154,-1.6457
-1.1526,-9.9872,1.8852,-0.0058,0.4765,0.0053
-1.8086,-9.8364,1.7487,-0.0463,0.279,-0.057
-2.0002,-9.5802,1.8947,-0.1142,0.2343,0.0045
-3.1135,-10.7462,2.3329,-0.1659,0.2937,0.2529
-6.542,-14.0382,5.3017,0.5682,1.2513,1.9246
-11.723,-19.497,8.7733,1.743,4.0812,5.2512
-17.5912,-19.9208,7.32,2.9978,6.146,7.377
-18.4172,-17.8091,5.9625,3.4337,5.5163,8.7112
-13.8347,-13.0446,1.471,2.4049,3.322,8.7112
-6.7215,-13.363,-0.1427,2.0641,1.0683,8.7112
1.1674,-12.1707,-3.6359,3.8151,0.3531,8.7112
9.9972,-12.6711,-11.1704,7.0305,1.4914,8.7112
13.1982,-7.8827,-15.3938,6.2657,4.4284,2.8794
10.9142,-3.9323,-16.3922,2.7279,4.9275,-0.5276
10.6915,-4.7846,-14.2709,0.4651,0.9526,-5.2706
7.8663,-9.7454,-12.1497,-2.3935,-0.607,-7.352
9.7051,-17.8043,-12.7674,-6.8669,-3.2316,-8.7514
15.1998,-44.5763,-14.1273,-8.7614,-2.8951,-8.7514
6.1976,-66.3348,-10.6533,-8.7614,-8.6914,-7.9481
8.6445,-37.0537,3.7598,-8.7614,-4.4062,-0.7288
34.2457,-37.6402,7.7342,-6.3961,-6.3079,-0.2889
16.1048,-40.8461,10.2625,-8.4577,-4.9764,-1.0707
17.2899,-33.6707,17.8234,-5.8605,-1.5012,0.2601
10.5024,-26.4378,17.8497,-2.4974,-1.5316,0.4988
6.7722,-16.5162,13.9543,-1.0276,0.1618,0.4335
4.967,-12.0774,8.2298,-0.2634,1.3145,1.0083
4.9837,-10.7893,2.8093,0.6863,1.6199,0.7421
3.9997,-9.7334,1.0615,0.9516,2.8776,1.1793
3.4131,-9.3121,-0.1284,1.3162,2.0947,0.7181
5.0412,-10.1333,0.0105,1.7662,1.5487,0.2068
1.8832,-8.0934,-0.8706,0.658,2.6012,-0.2753
0.9591,-9.6041,2.4909,-0.8766,1.7307,-0.1378
1.5648,-10.1381,4.0016,-0.422,3.3329,-0.3496
-2.0265,-10.9353,2.7734,0.262,3.1488,-0.8892
-1.3011,-9.9417,2.1557,0.1309,2.9535,-0.9249
-4.2196,-9.9705,1.6409,-0.499,2.3846,-1.3227
-1.1526,-11.3399,3.1397,-0.4294,1.6441,-0.5668
-1.8565,-10.6887,1.8684,0.5021,1.8943,-0.8226
-1.8637,-9.8484,1.5955,-0.0129,1.5927,-1.3163
-1.4447,-10.5187,2.3065,-0.0231,0.6822,0.1785
-1.8158,-10.9784,3.0727,0.4848,1.0118,0.3429
-3.3289,-11.3112,3.8843,0.3857,1.8938,1.0826
-4.3872,-11.8331,4.5068,0.4558,2.5789,1.7967
-6.6904,-12.3383,5.7111,0.6287,3.5818,2.9465
-8.5435,-13.8778,6.8124,1.2978,5.1308,4.181
-13.8946,-14.9839,2.8165,2.7106,6.3256,6.3125
-19.6622,-13.3247,-1.3111,3.1036,2.9599,8.7112
-15.1874,-7.8564,-1.2345,2.5326,3.9642,8.7112
-4.9714,-11.2154,1.1956,2.5376,3.9815,8.7112
2.4171,-6.8867,-2.5274,3.2805,3.904,8.5817
